generation_seed,test_index,support_baseline_action,block,regime_target,regime_probability,harmful_target,severe_underestimation_probability,context_support_distance,action_support_distance,action_support_minus_context,predicted_action_loss,predicted_relative_loss
44080,43,2,block_071_090,0,0.5675395481163467,0,0.48782480077511337,1.5612571675692037,2.0686437404201143,0.5073865728509106,0.1757595191088069,0.0
44080,62,2,block_071_090,0,0.6400625646817482,0,0.2670487378561876,1.4403013667660567,2.001504919055338,0.5612035522892811,0.12498115671062514,0.0
44080,65,2,block_071_090,0,0.8996834759304259,0,0.30444475159916323,1.5695248257482348,2.5232822416715717,0.9537574159233368,0.12503653260065126,0.0
44081,2,1,block_071_090,0,0.8996339550367929,0,0.38792788362882274,1.7887137948222722,2.015282057404697,0.2265682625824248,0.08938817001940481,0.0
44081,12,1,block_071_090,0,0.6046458330933913,0,0.5937535560079491,1.4392012925955064,2.083956178187301,0.6447548855917946,0.1362042358927778,0.0
44081,29,1,block_071_090,0,0.7318030403652604,0,0.3996691637114845,1.5408882680232856,1.7061048179621963,0.16521654993891066,0.10331391023340374,0.0
44081,40,2,block_071_090,0,0.3931559111607355,0,0.57703471460855,1.4237104674898025,1.6051881393912573,0.1814776719014548,0.15996173275238548,0.0
44081,44,1,block_071_090,0,0.7956971920646569,0,0.44924825111301603,1.6751939153458497,1.8182680723530211,0.1430741570071714,0.10918714081084856,0.0
44081,59,1,block_071_090,0,0.6972855092428273,0,0.5058621646195217,1.5029352294795422,1.940996830045227,0.43806160056568477,0.11715169502135156,0.0
44082,26,1,block_071_090,0,0.9935762398252178,1,0.6881861957353187,1.8560868447148475,2.633331456550463,0.7772446118356153,0.1291070148005214,0.004628107812383084
44084,14,2,block_071_090,0,0.28653984632571095,0,0.5608831589176486,1.1017746804329103,1.996344517882052,0.8945698374491418,0.20150098832006275,0.0
44084,15,1,block_071_090,0,0.28903014461836024,0,0.39797498746446197,1.288044767953998,1.5337107616204326,0.2456659936664347,0.1492061535847183,0.0
44084,18,1,block_071_090,0,0.24112157058535955,0,0.5520007532024601,1.3425343177413809,1.4774437890728556,0.13490947133147468,0.17986052051243073,0.0
44084,24,2,block_071_090,0,0.17523136061359362,0,0.3081085152709472,1.1803268760621788,1.7653598527127365,0.5850329766505578,0.25521044464343373,0.0
44084,26,2,block_071_090,0,0.224748505022814,0,0.6461372510821879,1.3276139913695766,1.404425442140354,0.07681145077077733,0.17619617247585342,0.0
44084,29,1,block_071_090,0,0.20529753605440823,0,0.5502464697266166,1.2329808289255595,1.4411759564997817,0.2081951275742222,0.18167942265294226,0.0
44085,3,1,block_071_090,0,0.3470788268558322,0,0.3972817764955477,1.1229390971549842,1.7374906514509227,0.6145515542959386,0.13017220961631593,0.0
44085,20,2,block_071_090,0,0.24809873520054007,0,0.6304632239196827,1.1882226870292274,1.5546129230348869,0.36639023600565945,0.15943613198407683,0.0
44085,26,2,block_071_090,0,0.33788721212764783,0,0.3938856962071146,1.5045592732125157,1.782326684595177,0.27776741138266137,0.19478387491872237,0.0
44085,32,2,block_071_090,0,0.19443179450278777,0,0.5604528651421053,1.0275786600739527,1.5183394492115503,0.4907607891375976,0.16500064724651647,0.0
44087,0,1,block_071_090,0,0.6105144480157256,0,0.552730189455743,1.5388634908625956,1.8947877147935834,0.3559242239309879,0.11188584159878391,0.0
44087,2,1,block_071_090,0,0.15171111197762024,0,0.7089969162764341,0.9765740855454883,1.288753702510458,0.31217961696496976,0.15119395923654896,0.0
44087,18,1,block_071_090,0,0.355118857057877,0,0.6430539353708926,0.931771919288936,1.7506383799763203,0.8188664606873843,0.1362152272339735,0.00035679409315603205
44087,44,2,block_071_090,0,0.7027419169441372,0,0.5966156549657106,1.2620669762144776,1.983155736063702,0.7210887598492244,0.11262538521367339,0.0018692405515061822
44094,32,2,block_091_110,1,0.3499007172193159,0,0.594143444718976,1.245473494969686,2.001336971955701,0.7558634769860151,0.1740847705661803,0.0
44095,13,2,block_091_110,1,0.30990114739302416,0,0.6617440735117629,1.1445880686413505,1.8692112219087567,0.7246231532674061,0.15132731867184565,0.0
44095,19,2,block_091_110,1,0.5619133870979759,0,0.7411040484703456,1.4571224586477132,1.9276015979209475,0.47047913927323437,0.10323460534581053,0.0
44095,25,2,block_091_110,1,0.7885070630874585,0,0.4343439958337169,1.6792991298753723,2.4764162374093126,0.7971171075339403,0.15978249196348127,0.0010763371727819937
44095,29,2,block_091_110,1,0.585477044809367,0,0.6483982306888629,1.6275596959988938,1.9742470527341627,0.34668735673526885,0.13850414818021775,0.0
44095,33,2,block_091_110,1,0.6085174254566862,0,0.6736538368703721,1.5821044685917602,2.040578836179178,0.45847436758741766,0.1285281033575394,0.0
44095,48,2,block_091_110,1,0.5360173521248421,0,0.6977258985752528,1.497539566087467,1.8963142310687293,0.39877466498126224,0.1195804919609403,0.0
44096,20,1,block_091_110,1,0.9415512620193771,0,0.7883744594276162,1.9978956215301618,2.8588525411000907,0.8609569195699289,0.10390128756209825,0.0
44096,22,1,block_091_110,1,0.7821815229530832,1,0.7262322629465434,2.0600107553968274,2.4228609680489077,0.3628502126520803,0.18945303023305818,0.0
44097,18,2,block_091_110,1,0.9647251095908316,0,0.5988216461668854,2.1851251827852094,2.65786050693931,0.4727353241541006,0.19457324947730384,0.006018538925397887
44097,22,1,block_091_110,1,0.8304668551645503,1,0.7750290934157336,1.7255262266175972,2.592455773395727,0.86692954677813,0.13788336446865274,0.0
44098,6,2,block_091_110,1,0.49933641843414306,0,0.7632323217132252,1.569767530931013,1.8789843745698551,0.30921684363884205,0.15222127014866932,0.0
44098,31,2,block_091_110,1,0.7040927148318116,0,0.7351233707835221,1.4242359633463166,2.1111013133912744,0.6868653500449577,0.15097729620963335,0.0030862973573090036
44099,0,2,block_091_110,1,0.33005221154813186,0,0.6909457638080648,1.1448980263112358,1.8219867714836302,0.6770887451723944,0.14018191537849137,0.0
44099,4,2,block_091_110,1,0.7891008230794817,0,0.7058113689376203,2.0069505623648225,2.3072037001624865,0.30025313779766405,0.1653211879719513,0.0
44100,49,2,block_091_110,1,0.6596511236406306,0,0.5952596287689192,1.5237029846806704,1.746648972058669,0.22294598737799864,0.12779859430285323,0.003933630518195744
44101,5,1,block_091_110,1,0.5160811881560733,1,0.6236175561698784,1.3221307833873626,1.9143381942277304,0.5922074108403679,0.10681091701336692,0.0
44103,3,2,block_091_110,1,0.3726295724841234,0,0.37500897907088376,1.1677329647529766,1.7263754837047398,0.5586425189517632,0.16427564182034649,0.0028269603759975837
44103,4,1,block_091_110,1,0.34617160598300906,1,0.6027985905951019,1.3023483523954378,1.6079530998797176,0.3056047474842798,0.11359633335503082,0.0
44103,33,1,block_091_110,1,0.7428351652292672,0,0.6572693194331644,1.9654423413298652,2.000552501307966,0.03511015997810096,0.12332866759484036,0.0
44104,1,1,block_091_110,1,0.39224258660581496,1,0.4996333537399255,1.30292092698362,1.6705755498447232,0.3676546228611033,0.11266766323057441,0.0
44104,12,2,block_091_110,1,0.6704564122098978,0,0.41836071999081254,1.723723456878803,2.3176058337658243,0.5938823768870214,0.1784010418445338,0.0
44104,43,2,block_091_110,1,0.736749428721659,0,0.5441369116776286,1.5895954814499387,2.325137634334458,0.7355421528845194,0.11683407403708605,0.0
44104,52,1,block_091_110,1,0.621377160102303,0,0.4446678286612458,1.5065195712927095,2.0912509903479704,0.5847314190552608,0.12018730330927525,0.0
44105,8,2,block_091_110,1,0.5016866836502899,0,0.3089667365128593,1.5811185717243719,2.0913551935768515,0.5102366218524796,0.18625678867122347,0.0
44105,23,2,block_091_110,1,0.441878371224144,0,0.29335312993758783,1.5487310191095687,1.9808952998365044,0.4321642807269357,0.18521486164830867,0.0
44105,24,2,block_091_110,1,0.47955091124913435,0,0.19046922345019734,1.7142866051762287,1.932965383823531,0.21867877864730234,0.17970325830346873,0.0
44105,30,2,block_091_110,1,0.5148669556864303,0,0.5223682586791448,1.592447362683024,1.8968656165964988,0.30441825391347477,0.14672855209972435,0.0
44105,48,2,block_091_110,1,0.731597596071276,0,0.5851798251228222,2.0523787291675566,2.0825785479026386,0.03019981873508204,0.14070578828245123,0.0
44106,14,2,block_091_110,1,0.47948384175169606,0,0.413042044902187,1.641399288896702,1.951234608524881,0.3098353196281791,0.18121179034533585,0.0
44107,5,2,block_091_110,1,0.7509567717632263,0,0.3246659126039296,1.9360031172450995,2.4199617689353543,0.48395865169025476,0.18449756941351766,0.0
44107,20,2,block_091_110,1,0.499138831494882,0,0.3061838623996136,1.65842941828815,1.9401698685104272,0.2817404502222771,0.17412182727968453,0.0
44107,29,2,block_091_110,1,0.5085028398709501,0,0.2763075860296312,1.5376676785821872,2.0278726268647804,0.4902049482825932,0.16716528753088827,0.0
44107,45,2,block_091_110,1,0.5183646922669778,0,0.48738605484785624,1.3928886276500878,1.937889862764957,0.5450012351148692,0.126513313326624,0.0
44108,5,2,block_091_110,1,0.5002816567015316,0,0.37233805698308786,1.740448922673422,2.0301478475954426,0.28969892492202054,0.1897321799060999,0.0
44108,15,2,block_091_110,1,0.586876217715981,0,0.3895178970880561,1.8135468682515896,2.218230792703877,0.4046839244522873,0.20120201905818605,0.0
44108,20,2,block_091_110,1,0.4553037328083931,0,0.3682362645272409,1.7271124750061344,1.8950807453434464,0.167968270337312,0.17853100624338655,0.0
44108,21,2,block_091_110,1,0.42616869975904964,0,0.31390165499845696,1.5872201097223904,1.8475550856639522,0.26033497594156185,0.16794430742980657,0.0
44108,29,2,block_091_110,1,0.4738674452783404,0,0.32710017335909786,1.5987421969945654,1.9632505207332631,0.3645083237386977,0.17414086821420052,0.0
44108,38,1,block_091_110,1,0.5213665607483641,1,0.5284621869339239,1.616281305475362,1.878579273659965,0.26229796818460294,0.14239371172106666,0.0
44108,55,2,block_091_110,1,0.6157964894779431,0,0.4093719184667914,1.1720621373358528,1.8255448402424581,0.6534827029066053,0.1535247148225067,0.005295298521484748
44109,2,2,block_091_110,1,0.7388520135704163,0,0.33979287529852725,1.737137855443963,2.0458601866513213,0.30872233120735837,0.19010283183990243,0.0043170401670606096
44109,12,2,block_091_110,1,0.8579445670552822,0,0.32853939814071026,1.8554955346377398,2.297047075995556,0.4415515413578164,0.20532067885580643,0.00583065641664926
44109,17,2,block_091_110,1,0.38028625828812046,0,0.3244928551246919,1.4840266540824276,1.805882162640352,0.32185550855792444,0.17356502319497447,0.0
44109,18,2,block_091_110,1,0.694536262988658,0,0.2676860294322664,1.696176661272752,2.2892133406321564,0.5930366793594044,0.16091579936958028,0.0
44109,26,2,block_091_110,1,0.4538831116361446,0,0.3569772868958526,1.5665899269422443,2.129658150938775,0.5630682239965306,0.20674354196348915,0.0
44109,52,2,block_091_110,1,0.296431479087217,0,0.4774429828222849,1.1541085422106083,1.7224030173423082,0.5682944751316998,0.14580795203953467,0.0
44110,6,2,block_091_110,1,0.7771981606357671,0,0.5081940401843656,1.9574219205736605,2.4625895715322974,0.5051676509586369,0.18410877690686883,0.0
44110,8,2,block_091_110,1,0.7525783778914125,0,0.4675066633444006,1.7711602122106576,1.9774080095318503,0.2062477973211927,0.08133925633701922,0.0
